gene/TE	cytoplasmic_dmso_3hrs_1	cytoplasmic_dmso_3hrs_2	cytoplasmic_dmso_3hrs_3	cytoplasmic_kpt185_3hrs_1	cytoplasmic_kpt185_3hrs_2	cytoplasmic_kpt185_3hrs_3	nuclear_dmso_3hrs_1	nuclear_dmso_3hrs_2	nuclear_dmso_3hrs_3	nuclear_kpt185_3hrs_1	nuclear_kpt185_3hrs_2	nuclear_kpt185_3hrs_3
"ENSG00000005884.18"	196	119	145	121	174	128	160	115	172	120	205	115
"ENSG00000005889.16"	1694	1098	1502	1060	1633	1199	393	452	498	531	756	426
"ENSG00000005893.16"	1797	1264	1562	1340	2161	1476	1320	1306	1525	1737	2394	1364
"ENSG00000005961.19"	26	8	17	20	25	21	9	18	17	23	46	28
"ENSG00000005981.13"	0	0	1	1	1	0	1	0	0	1	0	0
"ENSG00000006007.12"	2295	1442	2090	1447	2264	1568	581	510	679	640	795	480
"ENSG00000006015.18"	396	194	295	265	385	249	98	90	117	128	240	118
"ENSG00000006016.12"	60	32	56	31	86	70	21	23	30	42	45	20
"ENSG00000006025.12"	164	113	115	100	154	91	85	83	75	86	126	75
"ENSG00000006042.12"	932	582	807	673	1104	764	278	282	287	335	468	285
"ENSG00000006047.13"	1	0	0	0	2	0	0	0	0	0	0	1
"ENSG00000006059.4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006062.18"	183	85	119	151	242	187	127	162	156	170	260	148
"ENSG00000006071.16"	34	23	34	12	43	36	74	73	80	96	171	51
"ENSG00000006116.4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006118.15"	732	384	559	377	677	495	486	467	553	595	793	439
"ENSG00000006125.18"	10781	6922	9876	8189	12565	9144	1722	1746	2111	2392	3471	1772
"ENSG00000006128.12"	9	7	7	2	2	6	3	1	6	4	5	2
"ENSG00000006194.10"	1101	650	954	628	1032	720	411	436	531	534	771	445
"ENSG00000006210.7"	8	4	6	9	15	7	4	8	6	4	13	10
"ENSG00000006282.21"	502	319	449	322	541	338	211	190	239	264	405	232
